stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
3S,116.0,137.0,83.0,210.0,34.0,32.0,24.0,16.0,33.0
AJ네트웍스,2732.0,2391.0,288.0,321.0,24.0,982.0,86.0,1707.0,201.0
AK홀딩스,5549.0,0.0,5585.0,7727.0,8224.0,2168.0,10720.0,6583.0,4661.0
APS,59.0,412.0,1175.0,968.0,47.0,148.0,2287.0,1179.0,505.0
AP시스템,,,,1395.0,1812.0,671.0,1736.0,3932.0,5463.0
AP위성,750.0,904.0,473.0,5.0,47.0,51.0,97.0,99.0,287.0
BGF,4238.0,6239.0,3704.0,239.0,575.0,281.0,285.0,684.0,247.0
BGF리테일,,,,1619.0,8925.0,8763.0,7103.0,8547.0,11203.0
BGF에코머티리얼즈,985.0,1135.0,1263.0,269.0,229.0,424.0,622.0,39.0,1108.0
BNK금융지주,3809.0,1947.0,1522.0,1200.0,1475.0,1647.0,1498.0,2341.0,2404.0
BYC,22819.0,15770.0,20995.0,7414.0,10891.0,33265.0,21904.0,35764.0,42272.0
CBI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ,7375.0,7242.0,7837.0,16286.0,9735.0,8240.0,2581.0,8197.0,6023.0
CJ CGV,757.0,2455.0,583.0,66.0,6647.0,7213.0,22827.0,8342.0,4296.0
CJ 바이오사이언스,,,,738.0,976.0,1317.0,2270.0,4533.0,5940.0
CJ대한통운,3286.0,2636.0,3166.0,2654.0,2839.0,1349.0,5683.0,1841.0,8190.0
CJ씨푸드,91.0,71.0,149.0,127.0,60.0,51.0,58.0,61.0,205.0
CJ제일제당,6530.0,13401.0,19522.0,26179.0,55416.0,9516.0,42783.0,38246.0,37188.0
CJ프레시웨이,975.0,915.0,393.0,129.0,1154.0,434.0,3307.0,2245.0,4136.0
CMG제약,2.0,42.0,19.0,26.0,56.0,25.0,0.0,0.0,0.0
CNH,77.0,72.0,90.0,81.0,20.0,424.0,824.0,46.0,473.0
CNT85,270.0,315.0,0.0,874.0,469.0,483.0,140.0,71.0,39.0
CS,1350.0,815.0,571.0,53.0,218.0,28.0,9.0,123.0,179.0
CSA 코스믹,88.0,34.0,341.0,488.0,23.0,387.0,472.0,11.0,332.0
CS홀딩스,6412.0,18834.0,8045.0,5138.0,5469.0,8435.0,6657.0,12789.0,12700.0
DB,7240.0,767.0,120.0,6.0,21.0,23.0,33.0,114.0,30.0
DB금융투자,361.0,180.0,3.0,107.0,1312.0,1172.0,2327.0,2831.0,2.0
DB손해보험,6668.0,6616.0,8273.0,10445.0,8413.0,5966.0,9063.0,14482.0,16373.0
DB하이텍,1915.0,3112.0,2042.0,2546.0,2002.0,2410.0,3822.0,7292.0,12858.0
DGB금융지주,1714.0,1759.0,1702.0,1757.0,2219.0,1900.0,1966.0,2886.0,2266.0
DGP,1201.0,1871.0,216.0,311.0,344.0,200.0,156.0,45.0,102.0
DH오토웨어,12.0,20.0,25.0,41.0,28.0,100.0,3.0,106.0,39.0
DI동일,,,,,,,,,
DL,11766.0,5352.0,6868.0,12702.0,16741.0,17223.0,13077.0,41881.0,2679.0
DL건설,1898.0,2639.0,4935.0,4256.0,4251.0,6265.0,7953.0,7911.0,2445.0
DL이앤씨,,,,,,,0.0,13452.0,10130.0
DMS,1914.0,588.0,1610.0,171.0,662.0,768.0,1718.0,1354.0,1053.0
DN오토모티브,2194.0,3510.0,3861.0,2637.0,6391.0,7539.0,5320.0,9379.0,20987.0
DRB동일,2189.0,2310.0,2205.0,932.0,323.0,461.0,121.0,210.0,80.0
DSC인베스트먼트,24.0,100.0,78.0,125.0,302.0,348.0,890.0,582.0,573.0
DSEN,7.0,49.0,48.0,273.0,263.0,11.0,206.0,104.0,43.0
DSR,423.0,621.0,672.0,692.0,494.0,546.0,558.0,768.0,1502.0
DSR제강,507.0,685.0,603.0,348.0,513.0,469.0,367.0,529.0,2009.0
DXVX,158.0,350.0,226.0,627.0,607.0,783.0,281.0,298.0,27.0
E1,7096.0,1725.0,4591.0,14600.0,13507.0,7466.0,10427.0,22789.0,24536.0
EDGC,,,,249.0,234.0,237.0,266.0,254.0,363.0
EG,398.0,518.0,116.0,84.0,2192.0,99.0,548.0,622.0,283.0
ESR켄달스퀘어리츠,,,,,,,39.0,66.0,146.0
ES큐브,13.0,18.0,546.0,21.0,47.0,166.0,2337.0,670.0,1918.0
F&F,,,,,,,0.0,5900.0,11571.0
F&F홀딩스,,,,,,,,,
FSN,293.0,62.0,183.0,8.0,42.0,36.0,60.0,4.0,374.0
GH신소재,164.0,302.0,349.0,223.0,41.0,204.0,5.0,201.0,337.0
GKL,1884.0,1483.0,1848.0,1302.0,1257.0,1170.0,1040.0,1831.0,368.0
GRT,,,,777.0,784.0,964.0,850.0,686.0,744.0
GS,3664.0,5198.0,8509.0,10416.0,9539.0,5745.0,2564.0,15304.0,22634.0
GST,845.0,598.0,458.0,1719.0,1080.0,2010.0,1788.0,4292.0,5243.0
GS건설,667.0,363.0,394.0,2431.0,7788.0,5590.0,3919.0,4834.0,3997.0
GS글로벌,320.0,2076.0,290.0,257.0,249.0,207.0,974.0,283.0,851.0
GS리테일,1445.0,2133.0,3562.0,1535.0,1566.0,1729.0,2187.0,9096.0,395.0
HB솔루션,,,,,,,374.0,509.0,2610.0
HB테크놀러지,18.0,90.0,388.0,489.0,88.0,41.0,47.0,151.0,358.0
HDC,936.0,2946.0,4168.0,5168.0,18108.0,4460.0,1869.0,2069.0,93.0
HDC랩스,11144.0,2223.0,2292.0,1443.0,1473.0,358.0,1012.0,593.0,538.0
HDC현대EP,875.0,1406.0,1603.0,1002.0,275.0,445.0,477.0,356.0,398.0
HDC현대산업개발,,,,0.0,5232.0,9417.0,3622.0,2679.0,764.0
HD한국조선해양,32042.0,24349.0,8768.0,44798.0,7855.0,2183.0,11791.0,13142.0,3068.0
HD현대,,,,74413.0,18371.0,11848.0,42815.0,2082.0,19933.0
HD현대건설기계,,,,3119.0,4585.0,169.0,506.0,5953.0,6112.0
HD현대에너지솔루션,,,,25588.0,2373.0,2788.0,556.0,594.0,5412.0
HD현대인프라코어,202.0,4037.0,214.0,627.0,1184.0,1153.0,586.0,1335.0,1163.0
HD현대일렉트릭,,,,930.0,8812.0,12961.0,1118.0,936.0,4514.0
HD현대중공업,,,,,,,6096.0,10713.0,3966.0
HJ중공업,0.0,0.0,0.0,19137.0,88375.0,5185.0,940.0,1679.0,602.0
HL D&I,1902.0,1359.0,122.0,534.0,142.0,28.0,1239.0,1122.0,300.0
HLB,113.0,384.0,373.0,462.0,678.0,1119.0,768.0,923.0,729.0
HLB글로벌,1308.0,230.0,1963.0,40.0,546.0,935.0,934.0,340.0,273.0
HLB바이오스텝,,,,28697.0,579.0,650.0,1114.0,1457.0,43.0
HLB생명과학,105.0,1071.0,52.0,324.0,635.0,170.0,593.0,520.0,565.0
HLB이노베이션,122.0,306.0,85.0,46.0,15.0,22.0,2.0,95.0,21.0
HLB제약,54.0,267.0,51.0,455.0,521.0,34.0,4747.0,573.0,431.0
HLB테라퓨틱스,91.0,225.0,248.0,216.0,196.0,675.0,664.0,630.0,366.0
HL만도,5071.0,13433.0,21303.0,511.0,2257.0,2360.0,124.0,3567.0,2096.0
HL홀딩스,73220.0,7046.0,7062.0,4032.0,1232.0,3921.0,4297.0,10531.0,314.0
HMM,198.0,21867.0,5336.0,6219.0,4139.0,3353.0,103.0,13506.0,20556.0
HPSP,,,,,,,50510.0,2130.0,3615.0
HRS,295.0,257.0,243.0,384.0,457.0,60.0,571.0,1303.0,628.0
HSD엔진,608.0,1805.0,2608.0,149.0,385.0,1258.0,184.0,778.0,647.0
IHQ,,,,,,,,,
ISC,1012.0,873.0,771.0,1285.0,940.0,312.0,454.0,2202.0,2526.0
ITX-AI,159.0,1175.0,499.0,24.0,118.0,309.0,306.0,665.0,92.0
JB금융지주,5281.0,881.0,918.0,1124.0,1391.0,1641.0,1774.0,2510.0,2996.0
JTC,,,,2801.0,984.0,301.0,302.0,2999.0,2628.0
JW생명과학,1182.0,1625.0,1915.0,2120.0,999.0,1385.0,1093.0,829.0,966.0
JW신약,14.0,7.0,12.0,154.0,182.0,35.0,155.0,20.0,30.0
JW중외제약,206.0,69.0,616.0,75.0,343.0,1129.0,656.0,42.0,1331.0
JW홀딩스,195.0,3.0,148.0,859.0,367.0,519.0,133.0,41.0,322.0
KBG,,,,298.0,387.0,211.0,387.0,494.0,399.0
KBI메탈,84.0,586.0,149.0,204.0,137.0,196.0,56.0,34.0,51.0
KB금융,3626.0,4396.0,5588.0,8305.0,7721.0,8451.0,8809.0,11134.0,10955.0
KB스타리츠,,,,,,,,,
KB오토시스,311.0,470.0,1241.0,1068.0,1109.0,930.0,289.0,35.0,96.0
KCC,,,,,,,,,
KCC건설,99.0,3984.0,778.0,1051.0,1127.0,1319.0,1806.0,2363.0,223.0
KCC글라스,,,,,,,,,
KCI,302.0,500.0,617.0,370.0,826.0,1061.0,987.0,944.0,1656.0
KCTC,,,,,,,,,
KC그린홀딩스,111.0,615.0,211.0,232.0,579.0,369.0,1672.0,122.0,137.0
KC코트렐,765.0,661.0,77.0,517.0,320.0,149.0,4941.0,761.0,1238.0
KD,66.0,2.0,2.0,59.0,14.0,53.0,151.0,821.0,115.0
KEC,89.0,15.0,4.0,10.0,13.0,167.0,388.0,80.0,151.0
KG ETS,450.0,566.0,138.0,327.0,317.0,2789.0,768.0,1389.0,13572.0
KG모빌리언스,811.0,402.0,546.0,471.0,437.0,619.0,848.0,785.0,754.0
KG모빌리티,371.0,452.0,423.0,474.0,445.0,2290.0,3366.0,17103.0,1068.0
KG스틸,149411.0,9867.0,4067.0,19037.0,19394.0,925.0,668.0,1908.0,5357.0
KG이니시스,717.0,35.0,316.0,14.0,1276.0,1847.0,1771.0,1808.0,2153.0
KG케미칼,1275.0,1566.0,1175.0,1678.0,274.0,7691.0,3358.0,5749.0,23384.0
KH 건설,0.0,0.0,19.0,0.0,120.0,180.0,872.0,489.0,802.0
KH 전자,179.0,688.0,776.0,68.0,59.0,276.0,629.0,286.0,719.0
KH 필룩스,207.0,121.0,218.0,149.0,244.0,168.0,535.0,7.0,636.0
KH바텍,1341.0,1069.0,926.0,1966.0,2014.0,518.0,604.0,1473.0,1094.0
KISCO홀딩스,1665.0,14283.0,14995.0,841.0,1658.0,2909.0,2260.0,8106.0,5760.0
KNN,43.0,52.0,52.0,72.0,59.0,61.0,46.0,69.0,56.0
KPX생명과학,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0
KPX케미칼,8243.0,6968.0,6782.0,5543.0,2325.0,8571.0,13307.0,10123.0,6015.0
