stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
3S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ네트웍스,0.0,0.0,60.0,86.0,100.0,300.0,210.0,270.0,270.0
AK홀딩스,350.0,500.0,550.0,650.0,750.0,750.0,400.0,200.0,200.0
APS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
AP시스템,,,,0.0,150.0,50.0,120.0,240.0,270.0
AP위성,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0
BGF,600.0,1200.0,800.0,200.0,35.0,110.0,110.0,110.0,110.0
BGF리테일,,,,1000.0,2680.0,2700.0,2400.0,3000.0,4100.0
BGF에코머티리얼즈,150.0,150.0,150.0,70.0,70.0,70.0,100.0,100.0,100.0
BNK금융지주,200.0,150.0,230.0,230.0,300.0,360.0,320.0,560.0,625.0
BYC,800.0,850.0,800.0,850.0,1000.0,1100.0,1100.0,1500.0,3000.0
CBI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ,950.0,1350.0,1350.0,1450.0,1450.0,1850.0,2000.0,2300.0,2500.0
CJ CGV,350.0,350.0,350.0,350.0,200.0,0.0,0.0,0.0,0.0
CJ 바이오사이언스,,,,0.0,0.0,0.0,0.0,0.0,0.0
CJ대한통운,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
CJ씨푸드,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ제일제당,2000.0,2500.0,2500.0,3000.0,3500.0,3500.0,4000.0,5000.0,5500.0
CJ프레시웨이,200.0,200.0,200.0,200.0,200.0,250.0,0.0,300.0,350.0
CMG제약,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNH,50.0,15.0,25.0,20.0,20.0,30.0,50.0,20.0,20.0
CNT85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSA 코스믹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS홀딩스,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB금융투자,100.0,0.0,0.0,100.0,250.0,250.0,300.0,500.0,170.0
DB손해보험,1450.0,1550.0,1650.0,2300.0,2000.0,1500.0,2200.0,3500.0,4600.0
DB하이텍,0.0,0.0,0.0,250.0,250.0,350.0,350.0,450.0,1300.0
DGB금융지주,320.0,280.0,300.0,340.0,360.0,410.0,390.0,630.0,650.0
DGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH오토웨어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DI동일,,,,,,,,,
DL,100.0,300.0,300.0,1000.0,1700.0,1300.0,1300.0,1900.0,1000.0
DL건설,0.0,0.0,0.0,0.0,250.0,400.0,550.0,750.0,250.0
DL이앤씨,,,,,,,0.0,2700.0,1000.0
