업종,제목,작성자,증권사,작성일
자동차,"현대차·기아, 지난달 미국 판매 14만4874대... 전년 대비 15% 증가",김준성,메리츠증권,2023-05-04
음식료,(곡물) 흑해 항구 통한 우크라이나 곡물 수출 협정 연장 논의 5.3 재개,김정욱,메리츠증권,2023-05-04
운송,"GTT, ""메탄올은 고약한 연료""",배기연,메리츠증권,2023-05-04
금융,저신용자일수록 가산금리 더 올랐다,조아해,메리츠증권,2023-05-04
제약,셀트리온 천식치료제 ‘CT-P39’ 유럽 품목허가 신청,이선경,IBK투자증권,2023-05-03
자동차,현대차 美공장에 5G특화망 깐다...현대오토에버에 주파수 할당,김준성,메리츠증권,2023-05-03
음식료,(CJ프레시웨이) 식자재 납품하는 전국 외식 가맹 점포 수 전년 동기 대비 27%가량 증가,김정욱,메리츠증권,2023-05-03
운송,"HD한국조선해양, 사흘간 가스선 12척 수주",배기연,메리츠증권,2023-05-03
금융,"5대은행 기업대출, 한달새 5조 껑충... 가계대출은 감소세",조아해,메리츠증권,2023-05-03
운송,"공정위, 한화·대우조선 결합 조건부 승인",배기연,메리츠증권,2023-04-28
금융,"이자상환 유예 끝나는 9월 위기 온다... 은행권, 중기.소호 대출 연체율 관리 강화",조아해,메리츠증권,2023-04-28
자동차,"현대차, 러시아 전면 철수‥공장 매각 마무리 단계",김준성,메리츠증권,2023-04-27
음식료,"(곡물) 러시아, 곡물 협정 연장 위해선 러시아산 곡물·비료 수출 장애물 선행되어야",김정욱,메리츠증권,2023-04-27
운송,"미, JP모건에 러시아 곡물 수출대금 결제 허가",배기연,메리츠증권,2023-04-27
금융,기준금리보다 낮은 예금금리에 '금리노마드' 떠난다... 잔액 두달째 마이너스,조아해,메리츠증권,2023-04-27
인터넷포탈,"폼 미쳤다, 플랫폼",오린아,이베스트투자증권,2023-04-26
통신,1Q23 Preview: 단기 실적보다 중요한 중장기 플랜,정지수,메리츠증권,2023-04-26
자동차,"현대차, 1분기 영업이익 3조5927억원... 상장사 첫 1위",김준성,메리츠증권,2023-04-26
음식료,"(곡물) 유엔 사무총장, 푸틴 러시아 대통령에게 직접 서한 보내 곡물 협정 연장 촉구",김정욱,메리츠증권,2023-04-26
금융,은행권 3%대 주담대 늘어났다,조아해,메리츠증권,2023-04-26
자동차,"현대차-SK온 美합작공장 공식화' 촉각...尹동행 4대그룹 총수, 美시장 점검","김준성,",장재혁,2023-04-25
음식료,(곡물) 서방국가 대러시아 수출 금지 검토에 대해 러시아 흑해 곡물협정 종료 카드로 대응,"김정욱,",이성우,2023-04-25
운송,"러시아, 5월 18일에 만료되는 흑해곡물협정을 종료하겠다고 경고","배기연,",오정하,2023-04-25
금융,"'역대급 수익' 은행들, 대출 목표이익률 올려",조아해,메리츠증권,2023-04-25
통신,"정부, 최적 요금제 의무화 검토",최남곤,메리츠증권,2023-04-24
자동차,"자동차 무역흑자 1분기에만 130억달러, 사상 최대",김준성,메리츠증권,2023-04-24
음식료,(곡물) 우크라이나 곡물 가격 불안 및 생산비 증가로 올해 수확량 반 토막 날 것이란 전망,김정욱,메리츠증권,2023-04-24
운송,밀양 한국카본 화재... 피해액 150억원 추산,배기연,메리츠증권,2023-04-24
금융,"5대은행, 1분기 충당금 확 늘린다...당국 요청에, OK",조아해,메리츠증권,2023-04-24
전기전자,4 월 하반월 LCD 패널가,김선우,메리츠증권,2023-04-21
자동차,"이제 우주 가는 거야?...현대차, 자율주행 신기술 태웠다",김준성,메리츠증권,2023-04-21
음식료,(삼양식품) 자사 대표 브랜드 ‘불닭볶음면’에 대한 대대적인 온라인 마케팅 진행,김정욱,메리츠증권,2023-04-21
은행,지속가능금융,조아해,메리츠증권,2023-04-21
운송,2022년 LNG선 건조 자금 융자 2배 증가,배기연,메리츠증권,2023-04-21
금융,은행권 '돈잔치' 막는다... 임원 성과급 50% 5년간 이연,조아해,메리츠증권,2023-04-21
철강금속,"비철금속/Rock, The World",이유진,유진투자증권,2023-04-20
통신,실적 모멘텀,김장원,IBK투자증권,2023-04-20
자동차,"현대차·기아, 1분기 유럽 판매량 늘었지만 점유율은 하락",김준성,메리츠증권,2023-04-20
음식료,(전자담배) '궐련형 전자담배' 판매량 급증에 세금 인상 가능성 언급,김정욱,메리츠증권,2023-04-20
운송,컨테이너선사들이 장기계약을 앞두고 인위적으로 단기운임을 상향,배기연,메리츠증권,2023-04-20
금융,내 대출금리는 언제 내려?...하반기부터 체감한,조아해,메리츠증권,2023-04-20
통신,제4 이동통신 도입 가능성 점검,최남곤,유안타증권,2023-04-19
제약,제약/바이오 Weekly,이선경,IBK투자증권,2023-04-19
자동차,"현대차 ""보조금 제외 관련해 세 가지 대응 방안 마련""",김준성,메리츠증권,2023-04-19
음식료,(설탕) 설탕 국제 시세 치솟으며 국내 물가 상승 불안감 또다시 고조,김정욱,메리츠증권,2023-04-19
운송,"현대미포조선, 1,206억 규모 P/C선 공사 수주",배기연,메리츠증권,2023-04-19
금융,"카카오뱅크 '최애적금' 출시... 주담대는 '연립,다세대'로 확대",조아해,메리츠증권,2023-04-19
조선,국내 조선사의 주력 선종 수주세는 충분히 기대할 만하다,한승한,SK증권,2023-04-18
반도체,반도체 소부장의 공식,이동주,SK증권,2023-04-18
은행,미국 은행권 1Q 실적리뷰,전배승,이베스트투자증권,2023-04-17
철강금속,"지표들의 엇갈림 속 확실한 것, '전기'",이유진,유진투자증권,2023-04-17
섬유피복,"1Q23 Preview: 우려 반, 반영 반",이해니,유진투자증권,2023-04-17
신재생에너지,"G7, 해상풍력, 태양광 대폭 확대",한병화,유진투자증권,2023-04-17
반도체,하락을 멈춘 DRAM 현물가,이승우,유진투자증권,2023-04-17
보험,무엇이 가치를 결정하는가 [4월 monthly],정태준,유안타증권,2023-04-17
통신,선택지 늘리는 중간요금제... 5G 통신료 인하 경쟁 막올랐다,정지수,메리츠증권,2023-04-17
음식료,"(설탕) 세계 설탕 가격 올들어 상승세 지속, 산지에서 생산량 줄어들 것이라는 전망 때문",김정욱,메리츠증권,2023-04-17
금융,기준금리 밑도는 대출금리...마이너스 가산금리 등장,조아해,메리츠증권,2023-04-17
전기전자,"LG엔솔·삼성SDI, 전고체 배터리 두고 ""당분간 힘들다""vs""27년 양산""",이현욱,IBK투자증권,2023-04-14
자동차,"현대차.기아, 美 전기차 비율 3.9 -> 67%로 올려야",김준성,메리츠증권,2023-04-14
음식료,(하이트진로) 신제품 '켈리' 론칭 TV 광고 13일 공개,메리츠증권,2023.04.14,2023-04-14
운송,"중국 카타르 LNG 지분 매입, LNG 운반선 수주 포석",배기연,메리츠증권,2023-04-14
금융,"금감원 ""은행권, 부실 정확히 산정해 충당금 쌓아라""",조아해,메리츠증권,2023-04-14
전기전자,3 월 대만 IT 매출 동향: 확신이 없는 세트업체,양승수,메리츠증권,2023-04-12
자동차,"현대차그룹, 2030년까지 국내 전기차 생산에 24조 투자한다",김준성,메리츠증권,2023-04-12
음식료,(농심) 신제품 배홍동쫄쫄면 출시 42일만에 누적 매출 45억원 달성,김정욱,메리츠증권,2023-04-12
은행,1Q23 Preview - 컨센서스 소폭 하회 전망,조아해,메리츠증권,2023-04-12
운송,"러시아, 올해부터 이란에 철도로 석유 제품 수출",배기연,메리츠증권,2023-04-12
금융,"국고채, 은행채 금리 뚝... 이자 걱정 한숨 돌렸다",메리츠증권,2023.04.12,2023-04-12
음식료,(오리온) 제주용암수 중국 수출 계약 체결결,김정욱,메리츠증권,2023-04-11
은행,3 월 금융시장 동향,조아해,메리츠증권,2023-04-11
운송,"HMM 민영화 본격 착수...산은·해진공, 매각 자문단과 첫 회의",배기연,메리츠증권,2023-04-11
금융,"시중은행, 달아오른 '상생경쟁'...""누가누가 착한금융 잘하나""",조아해,메리츠증권,2023-04-11
담배,"전자담배, 본격 성장하는 글로벌 시장",박장욱,대신증권,2023-04-11
초고속인터넷,K-생성형 AI 가 빚어낼 新플랫폼 시대,남효지,SK증권,2023-04-10
금융,취약한 고리를 둘러싼 우려,전배승,이베스트투자증권,2023-04-10
항공,3월 항공 데이터: 미주 노선 강세,양승윤,유진투자증권,2023-04-10
자동차,"전기차, 미국 연비규제 강화",한병화,유진투자증권,2023-04-10
전기전자,나는 감산이다,이건재,IBK투자증권,2023-04-10
은행,1Q23E preview [4월 monthly],정태준,유안타증권,2023-04-10
반도체,4월 Monthly: Downcycle 후반부를 대응하는 방법,백길현,유안타증권,2023-04-10
통신,외부전문가 주도로 새판 짜는 KT... 대주주 영향력 세진다,정지수,메리츠증권,2023-04-10
자동차,"전동화 속도 내는 美...""2032년까지 신차 67%는 전기차로""",김준성,메리츠증권,2023-04-10
음식료,(라면) 올해 1분기 라면 수출액 2억800만달러로 전년대비 14.3% 증가,김정욱,메리츠증권,2023-04-10
운송,"Stolt-Nielsen, ""돈 더 주고 신조선 발주하겠다""",배기연,메리츠증권,2023-04-10
디스플레이,전기전자-4 월 상반월 LCD 패널가,김선우,메리츠증권,2023-04-07
음식료,"차세대 아이오닉, 실리콘 10% 음극재 배터리 탑재",김준성,메리츠증권,2023-04-07
음식료,"(롯데칠성) '처음처럼 새로, 이달 중 누적 판매량 1억병 돌파할 전망",김정욱,메리츠증권,2023-04-07
운송,"HD현대중공업 회사채 2배 늘려 2,000억 발행",배기연,메리츠증권,2023-04-07
은행,"은행권, 금융당국에 당근책 요구... ""비이자이익 늘릴 방안 만등러 달라""",조아해,메리츠증권,2023-04-07
자동차,기아 CEO 향하며 수익성은 강화 Investor Day,이재일,유진투자증권,2023-04-06
자동차,"기아 ""2030년 전기차 160만대, 영업이익 16조 목표""",김준성,메리츠증권,2023-04-06
음식료,"(현대그린푸드) ‘메디푸드’, 지난해 4월 출시 이후 매 분기 매출 20% 이상 증가",교보증권,2023.04.06,2023-04-06
운송,한화-대우조선해양 M&A...결국 'AESA' 레이더에 달렸다,배기연,메리츠증권,2023-04-06
금융,원화대출 2조원 이상 은행 예대율 규제 완화... 기업대출 12조원 '숨통',조아해,메리츠증권,2023-04-06
자동차,1∼2월 PHEV 포함 전기차 전세계 인도량 151만대,김준성,메리츠증권,2023-04-05
음식료,(하이트진로) 새로운 맥주 브랜드 '켈리' 첫 출고 진행,김정욱,메리츠증권,2023-04-05
운송,"대우조선, Leviathan FLNG FEED 수주",배기연,메리츠증권,2023-04-05
금융,"금감원, 은행 '지배구조 모범관행'만든다... 대출금리 2분기 하향안정",조아해,메리츠증권,2023-04-05
음식료,"현대차, LG엔솔 인도네시아 전기차 배터리 합작공장 장비 반입","김준성,",장재혁,2023-04-04
금융,"돈 생기면 ""빚부터 갚자""... 금리 내려도 가계대출 4.6조 감소",조아해,메리츠증권,2023-04-04
철강금속,IRA 핵심광물요건 및 POSCO홀딩스 급등 관련 코멘트,안회수,이베스트투자증권,2023-04-04
은행,2월 가중평균금리 동향: 1Q 은행권 NIM 축소,전배승,이베스트투자증권,2023-04-04
자동차,IRA 보조금 중간 세부 규정 예상대로 발표 추가 수정 지속될 것,한병화,유진투자증권,2023-04-04
신재생에너지,"EU, 재생에너지 목표 상향 풍력, 태양광 연간 수요 2배 이상 증가",한병화,유진투자증권,2023-04-04
조선,Cyclical Asset Monitor,한승한,SK증권,2023-04-04
전기전자,"Battery Insight: IRA 세부지침은 한국 양극활물질, 전구체 기업 수혜",윤혁진,SK증권,2023-04-04
통신,"Weekly(3/27~3/31): SK텔레콤, 3대 AI 핵심 전략 제시",최남곤,유안타증권,2023-04-03
증권,증권-1Q23E preview [4월 monthly],정태준,유안타증권,2023-04-03
전기전자,[2차전지 Monthly] 투자 전략서,이안나,유안타증권,2023-04-03
통신,알뜰폰 활성화·주파수 할당 6월까지 결론,정지수,메리츠증권,2023-04-03
음식료,"정부, 주류판매 할인 지침 마련 예정, 주류 판매 규제 개선해 가격경쟁 유도",김정욱,메리츠증권,2023-04-03
운송,"한화-대우조선해양, EU도 승인...韓 공정위만 남았다",배기연,메리츠증권,2023-04-03
금융,"""투자할 곳 없네""... 또 다시 쌓이는 요구불예금",조아해,메리츠증권,2023-04-03
자동차,"현대차·기아, 미국에선 '웃고' 유럽에선 '아쉽고'",김준성,메리츠증권,2023-03-30
음식료,"(맥주) 수입맥주 '4캔 1만2천원'으로 인상, 4개월 만에 추가 인상",김정욱,메리츠증권,2023-03-30
금융,주담대 금리 연3%대 진입...채권 금리 하락 여파,조아해,메리츠증권,2023-03-30
통신,전화위복의 기회로 삼아,김장원,IBK투자증권,2023-03-30
음식료,"(KT&G) 사외이사 정원 유지, 배당금 등 주요 안건 KT&G 이사회 측 안건 모두 가결",김정욱,메리츠증권,2023-03-29
자동차,"""큰 거 온다""...기아가 작심하고 만든 'EV9' 세계 최초 공개",김준성,메리츠증권,2023-03-29
금융,대출금리 상단 6.1%까지 낮아졌다... 다음달 5%대 진입할까,조아해,메리츠증권,2023-03-29
자동차,美IRA 세액공제 규정 금주 발표...韓 배터리업계 입장 반영 기대,김준성,메리츠증권,2023-03-28
음식료,(농심) 미국 동부에 제3공장 설립 검토 중,김정욱,메리츠증권,2023-03-28
음식료,"(곡물) 우크라이나와 러시아, 흑해 곡물 협정 연장 합의",김정욱,메리츠증권,2023-03-28
금융,"예금당국, 예대율 등 금융규제 유연화 조치 6월까지 연장",조아해,메리츠증권,2023-03-28
금융,"'은행권 경쟁촉진' 온라인 예금중개, 신청한 은행 단 1곳뿐",조아해,메리츠증권,2023-03-28
금융,도이치뱅크로 우려감 전이. CS나 미 중소형 은행과 상이한 여건,전배승,이베스트투자증권,2023-03-27
철강금속,각기 다른 방향성,이유진,유진투자증권,2023-03-27
신재생에너지,"미국 IRA 보조금 상세안 업데이트 중 풍력, 태양광업체 주목",한병화,유진투자증권,2023-03-27
통신,SK텔레콤의 신규 요금제 출시. 제4 이동통신 정책은 지속 추진,최남곤,유안타증권,2023-03-27
기타,지주회사-Weekly(3/20~3/24): 주요 지주회사 4Q22 실적 분석,최남곤,유안타증권,2023-03-27
석유화학,이수스페셜티케미컬에 대한 관심이 필요한 시점,이동욱,IBK투자증권,2023-03-24
제약,미국 약가인하에 따른 기회요인,이선경,IBK투자증권,2023-03-24
자동차,인니 장관 만난 정의선 현대차 회장...현지 전기차 공략 속도내나,"김준성,",장재혁,2023-03-24
음식료,(이마트) 미국 시장 진출한 이후 사업 규모 확대 및 해외 법인 통한 상품 직소싱,김정욱,메리츠증권,2023-03-24
금융,자산 다 팔아도 대출 다 못갚아... 고위험가구 2년새 2배 늘었다,조아해,메리츠증권,2023-03-24
섬유피복,스포츠화 밸류체인 높아보기,"조은애,",오지우,2023-03-23
음식료,(CJ제일제당) 식물성 대체유 브랜드 '얼티브(ALTIVE)' 신제품 5종 출시,"김정욱,",이성우,2023-03-23
자동차,가격 앞에 장사 없네...잘 나가던 현대차 '비상등' 켜졌다,"김준성,",장재혁,2023-03-23
금융,"22년 묶인 예금보호, 1억은 돼야 VS ""5000만원 이하 98%, 효과 없어""",조아해,메리츠증권,2023-03-23
기타,화장품-발상의 전환,하누리,메리츠증권,2023-03-22
반도체,3 월 반도체 수출입통계 잠정치 (~3.20),김선우,메리츠증권,2023-03-22
자동차,전기차 자동 충전 시대 열린다..현대차 충전 로봇 시연 공개,김준성,메리츠증권,2023-03-22
음식료,(곡물) 올해 우크라이나 곡물 수확량 작년보다 최대 15% 감소할 것으로 전망,김정욱,메리츠증권,2023-03-22
금융,"""열흘만 미룰 걸"" 대출자 희비 갈렸다... 떨어지는 대출금리, 이유는",조아해,메리츠증권,2023-03-22
전기전자,유럽 CRMA 영향 분석,전창현,대신증권,2023-03-21
은행,국내 중소형 은행과 SVB와의 공통점은?,조아해,메리츠증권,2023-03-21
반도체,확대되고 있는 위기 가까워지고 있는 Bottom,"남대종,",차용호,2023-03-21
디스플레이,3 월 하반월 LCD 패널가,"김선우,",김동관,2023-03-21
자동차,"EV5 전격공개' 전기차 액셀 밟는 기아...""중국서 먼저 출시""","김준성,",장재혁,2023-03-21
음식료,(CJ제일제당) K팝에 이어 K푸드로 태국 시장 본격 공략,"김정욱,",이성우,2023-03-21
금융,시중은행 전세대출 금리 3%대 진입... 전세수요 불 지필까,조아해,메리츠증권,2023-03-21
통신,통신 자회사의 알뜰폰 점 유율 규제. 통신 3사간 희비 엇갈릴 듯,최남곤,유안타증권,2023-03-20
보험,IFRS17 미리보기 [3월 monthly],정태준,유안타증권,2023-03-20
통신,"통신·항공·방송, 외국인 지분 한도 푼다",정지수,메리츠증권,2023-03-20
자동차,보조금 줄어들자...車업계 너도나도 '반값 전기차' 전환,김준성,메리츠증권,2023-03-20
음식료,"(곡물) 우크라이나와 러시아, 흑해 곡물 협정 연장 합의",김정욱,메리츠증권,2023-03-20
운송,"일본, 한화·대우조선해양 ‘기업결합 승인’",배기연,메리츠증권,2023-03-20
금융,SVB 사태에 여전채 3%대 '뚝'... 중장기 여전채 발행도 '쑥',조아해,메리츠증권,2023-03-20
금융,"위기의 크레디트스위스 ""중앙은행서 최대 70조원 대출""","박혜진,",임수진,2023-03-17
운송,초대형유조선 시황 강세 지속...용선료 10만弗 돌파,"배기연,",오정하,2023-03-17
신재생에너지,재생에너지 / IRA 에 대한 EU 의 대답,문경원,메리츠증권,2023-03-17
자동차,"EU, 리튬 등 핵심원자재 '제3국' 의존도 65% 아래로...CRMA 초안 공개","김준성,",장재혁,2023-03-17
음식료,"(현대그린푸드) HMR 사업 순항 중, 올해 매출 목표 650억원","김정욱,",이성우,2023-03-17
금융,"금융 충격 대비하라... 당국, 은행 자기자본 추가확충 추진",조아해,메리츠증권,2023-03-17
자동차,현대차 IT분야 대규모 경력채용...'SDV전환' 인재 확보,"김준성,",장재혁,2023-03-16
운송,초대형유조선 시황 강세 지속...용선료 10만弗 돌파,"배기연,",오정하,2023-03-16
전기전자,[인터배터리 2023] LFP와 차세대 배터리,이안나,유안타증권,2023-03-16
은행,크레딧스위스 리스크 점검,전배승,이베스트투자증권,2023-03-16
항공,"돌아오는 여객, 부족한 비행기",양승윤,유진투자증권,2023-03-16
음식료,"KGC인삼공사, 글로벌 전략 거점으로 현지 맞춤형 제품 개발 예정","김정욱,",이성우,2023-03-16
금융,주택 매수심리 8개월만에 '100' 넘었다,조아해,메리츠증권,2023-03-16
철강금속,꽃길은 아니지만 분명히 오르막길,이태환,대신증권,2023-03-15
석유화학,Weekly Outlook: 3월 마진 조정 지속,김도현,SK증권,2023-03-15
건설,"주 오래된 소문 / 10년만에 드리우는 PF, 미분양 그림자",김세련,이베스트투자증권,2023-03-15
운송,"대우조선해양, 역대 최고가로 LNG선 2척 수주.. 6,794억원 규모","배기연,",오정하,2023-03-15
제약,美 SVB 파산에 화들짝 놀란 K-바이오 “문제없다”,이선경,IBK투자증권,2023-03-15
은행,대출증가율 부진,김은갑,IBK투자증권,2023-03-15
금융,"무디스, 잇단 파산에 미 은행시스템 전망 '부정적'으로 하향",조아해,메리츠증권,2023-03-15
자동차,"현대차, 인도서도 'GM' 공장 인수 추진하나",김준성,메리츠증권,2023-03-14
음식료,(농심) 아랍에미리트(UAE)에 이어 사우디아라비아 스마트팜 수출 계약 체결,김정욱,메리츠증권,2023-03-14
운송,"한화·대우조선 기업결합, EU경쟁당국 내달 18일 통보키로",배기연,메리츠증권,2023-03-14
금융,"예금 급증한 2금융권, SVB 영향 미미할듯... 연체율 우려는 지속",조아해,메리츠증권,2023-03-14
은행,대출 회복의 선결 조건 [3월 monthly],정태준,유안타증권,2023-03-13
전기전자,대만 IT 및 주요 기업 2월 매출 동향,양승수,메리츠증권,2023-03-13
자동차,Power of Fleet,김준성,메리츠증권,2023-03-13
운송,"정부, 저가 수주 RG 발급 제한 방침",배기연,메리츠증권,2023-03-13
통신,5G 전국망 구축 국가 나오기 시작한다,정지수,메리츠증권,2023-03-13
음식료,(마켓컬리) CJ제일제당와 협업 통해 연내 HMR 시장 진출 예정,김정욱,메리츠증권,2023-03-13
금융,"금리인하 경쟁에 '떨이' 대출까지 나왔다... 인뱅, '마이너스' 가산금리 선보여",조아해,메리츠증권,2023-03-13
자동차,"러 ""현대차 공장, 카자흐에 매각협상""",김준성,메리츠증권,2023-03-10
음식료,맥주·탁주에 적용되는 물가상승률과 연동되는 주세 방식 폐지 발표,김정욱,메리츠증권,2023-03-10
음식료,"아시아나항공, 중국 노선 운항횟수 9배 늘린다",배기연,메리츠증권,2023-03-10
금융,"KB국민은행, 모든 가계대출 상품 금리 인하 약속",조아해,메리츠증권,2023-03-10
